model,skip_tokens,n,ratio_median,ratio_p10,ratio_p90,frac_interval_open
PleIAs/Pleias-3b-Preview,0,758,5.22920193754331,1.97039959707831,13.728997201396654,1.0
PleIAs/Pleias-3b-Preview,1,758,1.362779139063289,1.0003834193360737,2.682696313610627,0.9010554089709762
PleIAs/Pleias-3b-Preview,5,758,1.34567839323902,0.9928632815468919,2.5991154157364527,0.8865435356200527
PleIAs/Pleias-3b-Preview,10,758,1.2964210238674663,0.9833759614822148,2.732874592620061,0.8825857519788918
PleIAs/Pleias-3b-Preview,20,758,1.3677711718520529,0.99100823694326,2.6024449559742036,0.8878627968337731
