anchor,model,judge,n,u_n1,u_n,gain,gain_lo95,gain_hi95,mean_tokens_n1,empty_frac_n1,n_prompts,entry_gate,gain_nonempty,gain_nonempty_lo95,gain_nonempty_hi95,n_nonempty
TinyComma-1.8B (audited),jacquelinehe/tinycomma-1.8b-llama3-tokenizer,Meta-Llama-3.1-8B-Instruct,8,0.429,0.502,0.073,0.027,0.12,199.4,0.146,500,FAIL,0.0738,0.0246,0.123,427
TinyComma-1.8B (audited),jacquelinehe/tinycomma-1.8b-llama3-tokenizer,Phi-3.5-mini-instruct,8,0.435,0.489,0.054,0.013,0.095,199.4,0.146,500,FAIL,0.0621,0.0164,0.1077,427
Pleias-1.2B,PleIAs/Pleias-1.2b-Preview,Meta-Llama-3.1-8B-Instruct,8,0.333,0.404,0.071,0.027,0.115,203.3,0.0,500,PASS,0.071,0.027,0.116,500
Pleias-1.2B,PleIAs/Pleias-1.2b-Preview,Phi-3.5-mini-instruct,8,0.411,0.44,0.029,-0.012,0.068,203.3,0.0,500,PASS,0.029,-0.011,0.069,500
KL3M-1.7B,alea-institute/kl3m-003-1.7b,Meta-Llama-3.1-8B-Instruct,8,0.242,0.293,0.051,0.013,0.09,206.9,0.002,500,PASS,0.0511,0.013,0.0882,499
KL3M-1.7B,alea-institute/kl3m-003-1.7b,Phi-3.5-mini-instruct,8,0.31,0.349,0.039,0.005,0.076,206.9,0.002,500,PASS,0.0391,0.003,0.0762,499
Comma-7B,common-pile/comma-v0.1-2t,Meta-Llama-3.1-8B-Instruct,8,0.426,0.581,0.155,0.106,0.2,203.6,0.184,500,FAIL,0.1483,0.0956,0.1998,408
Comma-7B,common-pile/comma-v0.1-2t,Phi-3.5-mini-instruct,8,0.45,0.561,0.111,0.072,0.148,203.6,0.184,500,FAIL,0.1029,0.0625,0.1446,408
Comma-7B (1T tokens),common-pile/comma-v0.1-1t,Meta-Llama-3.1-8B-Instruct,8,0.438,0.551,0.113,0.069,0.157,202.0,0.316,500,FAIL,0.1623,0.1053,0.2193,342
Comma-7B (1T tokens),common-pile/comma-v0.1-1t,Phi-3.5-mini-instruct,8,0.458,0.484,0.026,-0.01,0.063,202.0,0.316,500,FAIL,0.019,-0.0322,0.0716,342
Pleias-3B,PleIAs/Pleias-3b-Preview,Meta-Llama-3.1-8B-Instruct,8,0.297,0.394,0.097,0.056,0.14,201.8,0.0,500,PASS,0.097,0.053,0.14,500
Pleias-3B,PleIAs/Pleias-3b-Preview,Phi-3.5-mini-instruct,8,0.399,0.446,0.047,0.003,0.089,201.8,0.0,500,PASS,0.047,0.008,0.088,500
