prompt_id,novel,risky_alone_recall,anchor_mean_recall,anchor_max_recall,recall_n1,lcs_n1,recall_n8,lcs_n8,recall_n64,lcs_n64
bookmia.00.11,1984,0.802,0.7533,0.7673,0.7673,155,0.7673,155,0.7673,155
bookmia.00.26,1984,0.7014,0.7681,0.7867,0.7867,166,0.7867,166,0.7867,166
bookmia.00.31,1984,0.0,0.7747,0.7842,0.7842,149,0.7842,149,0.7842,149
bookmia.00.40,1984,0.2892,0.6935,0.7353,0.7353,150,0.7353,150,0.7353,150
bookmia.00.46,1984,0.0,0.7383,0.757,0.757,141,0.757,162,0.757,162
bookmia.00.48,1984,0.77,0.7472,0.7606,0.23,49,0.7606,162,0.7606,162
bookmia.00.64,1984,0.0,0.7591,0.7696,0.7696,167,0.7696,167,0.7696,167
bookmia.00.71,1984,0.3897,0.6913,0.6995,0.6995,149,0.6995,149,0.6995,149
bookmia.01.00,a_game_of_thrones,0.0,0.705,0.7183,0.7183,153,0.7183,153,0.7183,153
bookmia.01.01,a_game_of_thrones,0.2488,0.2883,0.6544,0.2765,60,0.2765,60,0.6544,142
bookmia.01.02,a_game_of_thrones,0.7424,0.701,0.7172,0.7172,142,0.7172,142,0.7172,142
bookmia.01.03,a_game_of_thrones,0.2778,0.7154,0.7525,0.7525,149,0.7525,149,0.7525,149
bookmia.01.04,a_game_of_thrones,0.2754,0.7517,0.7729,0.7729,160,0.7729,160,0.7729,160
bookmia.01.07,a_game_of_thrones,0.5352,0.7299,0.7418,0.7418,158,0.7418,158,0.7418,158
bookmia.01.10,a_game_of_thrones,0.0,0.6786,0.7178,0.7129,144,0.7129,144,0.7129,144
bookmia.01.11,a_game_of_thrones,0.7642,0.7312,0.7594,0.7594,161,0.7594,161,0.7594,161
bookmia.01.12,a_game_of_thrones,0.1033,0.6474,0.6808,0.6808,145,0.6808,145,0.6808,145
bookmia.01.14,a_game_of_thrones,0.7487,0.3644,0.7337,0.6734,134,0.7337,146,0.7337,146
bookmia.01.20,a_game_of_thrones,0.1281,0.6827,0.7044,0.7044,143,0.7044,143,0.7044,143
bookmia.01.22,a_game_of_thrones,0.6965,0.6803,0.6965,0.6866,138,0.6866,138,0.6866,138
bookmia.01.23,a_game_of_thrones,0.2663,0.6931,0.7391,0.7391,136,0.7391,136,0.7391,136
bookmia.01.26,a_game_of_thrones,0.285,0.673,0.685,0.68,136,0.68,136,0.68,136
bookmia.01.27,a_game_of_thrones,0.6649,0.7399,0.7405,0.7405,137,0.7405,137,0.7405,137
bookmia.01.31,a_game_of_thrones,0.2359,0.7141,0.7436,0.7436,145,0.7436,145,0.7436,145
bookmia.01.32,a_game_of_thrones,0.0,0.7028,0.7326,0.7326,137,0.7326,137,0.7326,137
bookmia.01.33,a_game_of_thrones,0.7158,0.6467,0.6737,0.6737,128,0.6737,128,0.6737,128
bookmia.01.36,a_game_of_thrones,0.6946,0.7054,0.734,0.734,149,0.734,149,0.734,149
bookmia.01.37,a_game_of_thrones,0.6649,0.7094,0.7606,0.7606,143,0.7606,143,0.7606,143
bookmia.01.39,a_game_of_thrones,0.24,0.7113,0.75,0.745,149,0.745,149,0.745,149
bookmia.01.41,a_game_of_thrones,0.0,0.6968,0.7621,0.2816,58,0.7621,157,0.7621,157
bookmia.01.42,a_game_of_thrones,0.0,0.7299,0.7415,0.7415,152,0.7415,152,0.7415,152
bookmia.01.43,a_game_of_thrones,0.0,0.6157,0.6524,0.6524,101,0.6476,136,0.6476,136
bookmia.01.44,a_game_of_thrones,0.1923,0.5865,0.6779,0.6683,139,0.6683,139,0.6683,139
bookmia.01.46,a_game_of_thrones,0.1465,0.6654,0.6869,0.6667,83,0.6869,136,0.6869,136
bookmia.01.49,a_game_of_thrones,0.3366,0.6578,0.6634,0.6634,136,0.6634,136,0.6634,136
bookmia.01.51,a_game_of_thrones,0.75,0.7173,0.7311,0.7264,154,0.7264,154,0.7264,154
bookmia.01.52,a_game_of_thrones,0.6812,0.6379,0.6522,0.6522,135,0.6522,135,0.6522,135
