band,arm,quantity,value,lo95,hi95,reading,n
G0,blk10n64,"500 records, <= 200 tokens, block log nested and complete, 500 judged",1.0,,,PASS,500
G0,blk25n64,"500 records, <= 200 tokens, block log nested and complete, 500 judged",1.0,,,PASS,500
G0,blk50n64,"500 records, <= 200 tokens, block log nested and complete, 500 judged",1.0,,,PASS,500
G0,blk200n64,"500 records, <= 200 tokens, block log nested and complete, 500 judged",1.0,,,PASS,500
G0,blk100n8,"500 records, <= 200 tokens, block log nested and complete, 500 judged",1.0,,,PASS,500
G0,blk67n4,"500 records, <= 200 tokens, block log nested and complete, 500 judged",1.0,,,PASS,500
G0,blk34n2,"500 records, <= 200 tokens, block log nested and complete, 500 judged",1.0,,,PASS,500
G0,blk50n64_reward,"500 records, <= 200 tokens, block log nested and complete, 500 judged",1.0,,,PASS,500
G0,blk10n64_planner,"500 records, <= 200 tokens, block log nested and complete, 500 judged",1.0,,,PASS,500
G0,blk200n1,"500 records, <= 200 tokens, block log nested and complete, 500 judged",1.0,,,PASS,500
G0,blk10n64_memoriser,"100 passages, the committed extraction arm's",1.0,,,PASS,100
G1,blk200n1,anchor surprisal of served tokens against the pool's rank-0 draws,"rel 0.0179, probe 0.7763: PASS",,,PASS,
G2,blk10n64,"meter and anchor levels equal feat-198's, prompt by prompt",500,,,PASS,500
G2,blk25n64,"meter and anchor levels equal feat-198's, prompt by prompt",500,,,PASS,500
G2,blk50n64,"meter and anchor levels equal feat-198's, prompt by prompt",500,,,PASS,500
G2,blk200n64,"meter and anchor levels equal feat-198's, prompt by prompt",500,,,PASS,500
G2,blk100n8,"meter and anchor levels equal feat-198's, prompt by prompt",500,,,PASS,500
G2,blk67n4,"meter and anchor levels equal feat-198's, prompt by prompt",500,,,PASS,500
G2,blk34n2,"meter and anchor levels equal feat-198's, prompt by prompt",500,,,PASS,500
G2,blk50n64_reward,"meter and anchor levels equal feat-198's, prompt by prompt",500,,,PASS,500
G2,blk10n64_planner,"meter and anchor levels equal feat-198's, prompt by prompt",500,,,PASS,500
G2,blk200n1,"meter and anchor levels equal feat-198's, prompt by prompt",500,,,PASS,500
G3,all,pure-sampling lines / shipped-probe lines,11 / 1,,,PASS,12
B1,blk10n64,gain over the anchor control (D4),0.1665,0.141,0.1925,SURVIVES,500
B1,blk25n64,gain over the anchor control (D4),0.1495,0.1245,0.175,SURVIVES,500
B1,blk50n64,gain over the anchor control (D4),0.129,0.1045,0.153,SURVIVES,500
B1,blk200n64,gain over the anchor control (D4),0.125,0.1015,0.1485,SURVIVES,500
B1,blk100n8,gain over the anchor control (D4),0.0615,0.0385,0.085,SURVIVES,500
B1,blk67n4,gain over the anchor control (D4),0.043,0.0205,0.0655,SURVIVES,500
B1,blk34n2,gain over the anchor control (D4),0.037,0.0155,0.0585,SURVIVES,500
B2,blk10n64 - blk200n64,paired difference of order-averaged levels,0.0415,0.0185,0.0645,INSTALLMENTS WIN,500
B2,blk25n64 - blk200n64,paired difference of order-averaged levels,0.0245,0.001,0.0475,INSTALLMENTS WIN,500
B2,blk50n64 - blk200n64,paired difference of order-averaged levels,0.004,-0.019,0.0265,TIE,500
B3,blk100n8 - blk200n64,paired difference of order-averaged levels,-0.0635,-0.085,-0.0415,ONCE WINS,500
