sweep,judge,n,gain_record,lo_record,hi_record,reading_record,gain_deecho,lo_deecho,hi_deecho,reading_deecho,survives
audited,Phi-3.5-mini-instruct,8,0.054,0.013,0.095,POSITIVE,0.073,0.03,0.12,POSITIVE,YES
audited,Phi-3.5-mini-instruct,64,0.142,0.097,0.187,POSITIVE,0.141,0.095,0.187,POSITIVE,YES
audited,Meta-Llama-3.1-8B-Instruct,8,0.073,0.027,0.12,POSITIVE,0.096,0.05,0.141,POSITIVE,YES
audited,Meta-Llama-3.1-8B-Instruct,64,0.123,0.076,0.171,POSITIVE,0.117,0.07,0.164,POSITIVE,YES
Pleias-1.2B,Phi-3.5-mini-instruct,8,0.029,-0.012,0.068,COVERS ZERO,0.037,-0.006,0.077,COVERS ZERO,YES
Pleias-1.2B,Meta-Llama-3.1-8B-Instruct,8,0.071,0.027,0.115,POSITIVE,0.097,0.052,0.143,POSITIVE,YES
KL3M-1.7B,Phi-3.5-mini-instruct,8,0.039,0.005,0.076,POSITIVE,0.03,-0.003,0.063,COVERS ZERO,NO
KL3M-1.7B,Meta-Llama-3.1-8B-Instruct,8,0.051,0.013,0.09,POSITIVE,0.036,-0.002,0.073,COVERS ZERO,NO
Comma-7B,Phi-3.5-mini-instruct,8,0.111,0.072,0.148,POSITIVE,0.126,0.087,0.164,POSITIVE,YES
Comma-7B,Meta-Llama-3.1-8B-Instruct,8,0.155,0.106,0.2,POSITIVE,0.141,0.095,0.187,POSITIVE,YES
Comma-7B (1T),Phi-3.5-mini-instruct,8,0.026,-0.01,0.063,COVERS ZERO,0.036,0.001,0.074,POSITIVE,NO
Comma-7B (1T),Meta-Llama-3.1-8B-Instruct,8,0.113,0.069,0.157,POSITIVE,0.116,0.073,0.157,POSITIVE,YES
Pleias-3B,Phi-3.5-mini-instruct,8,0.047,0.003,0.089,POSITIVE,0.054,0.013,0.094,POSITIVE,YES
Pleias-3B,Meta-Llama-3.1-8B-Instruct,8,0.097,0.056,0.14,POSITIVE,0.108,0.07,0.15,POSITIVE,YES
"AlpacaEval, TinyComma",Phi-3.5-mini-instruct,8,0.0311,-0.0006,0.0621,COVERS ZERO,0.0199,-0.0112,0.0516,COVERS ZERO,YES
"AlpacaEval, TinyComma",Meta-Llama-3.1-8B-Instruct,8,0.0665,0.0342,0.1006,POSITIVE,0.0739,0.0422,0.1081,POSITIVE,YES
"AlpacaEval, Comma-7B",Phi-3.5-mini-instruct,8,0.0745,0.0416,0.1075,POSITIVE,0.0752,0.0441,0.1056,POSITIVE,YES
"AlpacaEval, Comma-7B",Meta-Llama-3.1-8B-Instruct,8,0.1671,0.1342,0.2006,POSITIVE,0.1516,0.1193,0.1845,POSITIVE,YES
"MT-Bench, TinyComma",Phi-3.5-mini-instruct,8,0.0063,-0.0875,0.0938,COVERS ZERO,0.0,-0.075,0.0813,COVERS ZERO,YES
"MT-Bench, TinyComma",Meta-Llama-3.1-8B-Instruct,8,-0.0375,-0.1313,0.05,COVERS ZERO,-0.0437,-0.1437,0.05,COVERS ZERO,YES
