prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,recall_n1,lcs_n1,rouge_n1,recall_n8,lcs_n8,rouge_n8,recall_n64,lcs_n64,rouge_n64
bookmia.17.82,harry_potter_and_the_sorcerer's_stone,0.0,0.0848,0.0,0.0,0.0,4,0.1395,0.0,3,0.126,0.0,4,0.1401
bookmia.17.84,harry_potter_and_the_sorcerer's_stone,0.0,0.1181,0.0,0.0,0.0,2,0.1283,0.0,3,0.128,0.0,2,0.1136
bookmia.17.85,harry_potter_and_the_sorcerer's_stone,0.0,0.0962,0.0,0.0,0.0,2,0.0968,0.0,1,0.0886,0.0,2,0.0882
bookmia.17.86,harry_potter_and_the_sorcerer's_stone,0.0,0.1123,0.0,0.0,0.0,2,0.1164,0.0,3,0.1281,0.0,4,0.1259
bookmia.17.88,harry_potter_and_the_sorcerer's_stone,0.0,0.1176,0.0,0.0,0.0,2,0.1387,0.0,3,0.1382,0.0,2,0.0981
bookmia.17.89,harry_potter_and_the_sorcerer's_stone,0.0,0.1205,0.0,0.0,0.0,1,0.0423,0.0,2,0.1045,0.0,3,0.104
bookmia.17.91,harry_potter_and_the_sorcerer's_stone,0.0,0.1074,0.0,0.0,0.0,2,0.1135,0.0,2,0.1135,0.0,2,0.1135
bookmia.17.94,harry_potter_and_the_sorcerer's_stone,0.0,0.1066,0.0,0.0,0.0,1,0.0927,0.0,2,0.0963,0.0,2,0.0939
bookmia.17.95,harry_potter_and_the_sorcerer's_stone,0.0,0.0866,0.0,0.0,0.0,2,0.0906,0.0,2,0.0899,0.0,2,0.1049
bookmia.17.97,harry_potter_and_the_sorcerer's_stone,0.0,0.0949,0.0,0.0,0.0,3,0.1004,0.0,2,0.1119,0.0,2,0.1088
bookmia.17.98,harry_potter_and_the_sorcerer's_stone,0.0,0.0727,0.0,0.0,0.0,1,0.0777,0.0,3,0.0889,0.0,3,0.0889
