metric,value,threshold,verdict
rewards_compared,32000,,
reward_agree_frac,0.60013,0.999,WITHDRAWN
reward_max_abs_diff,3.00000,0.01,
reward_mean_abs_diff,0.09209,,
argmax_cells,3500,,
argmax_agree_frac,0.97029,0.99,WITHDRAWN
reward_mean_abs_diff_blocking,0.09209,1.0,PASS
G0a,PASS,,PASS
