class,k,K,M,mean_Z,var_Z,R,delta,U_EBB,certified,mean_rouge_l,mean_minhash_5gram,mean_gen_length,mean_budget_utilization
neutral,3.0,600.0,2000,159.1530781032528,2626.5900621156825,2352.3567091128853,0.008333333333333333,182.285830666318,True,0.0,0.0,191.756,0.28151494272952887
val,3.0,600.0,1500,159.36166302108765,1213.2054133983904,2352.3567091128853,0.008333333333333333,188.12400099468073,True,0.08997722515010857,1.4149879206810591e-05,199.86733333333333,0.26797978916543236
test,3.0,600.0,1500,174.005765402476,1310.4426888738813,2352.3567091128853,0.008333333333333333,202.8851257726283,True,0.07761228717959347,0.0001774591699815919,199.27133333333333,0.29301038824862813
attack_train,3.0,600.0,1000,176.784591047287,1508.1672847637603,2352.3567091128853,0.008333333333333333,219.5277317085914,True,0.08655099969174786,5.235602094240838e-06,199.206,0.29776741539378176
factual,3.0,600.0,1500,160.9456967778391,1651.424926486395,2352.3567091128853,0.008333333333333333,190.20440881431392,True,0.06652551573351968,0.0003187994340239247,196.95533333333333,0.2704005069901654
creative,3.0,600.0,1500,169.82758740699688,3718.9476954287466,2352.3567091128853,0.008333333333333333,200.8255102022911,True,0.06413539710340618,1.3879598662207358e-05,185.026,0.2940003770255069
