class,k,K,M,mean_Z,var_Z,R,delta,U_EBB,certified
neutral,3.0,600.0,2000,159.1530781032528,2626.5900621156825,2352.3567091128853,0.004166666666666667,184.96440898031932,True
val,3.0,600.0,1500,159.36166302108765,1213.2054133983904,2352.3567091128853,0.004166666666666667,191.56774103674445,True
test,3.0,600.0,1500,174.005765402476,1310.4426888738813,2352.3567091128853,0.004166666666666667,206.33604558767337,True
attack_train,3.0,600.0,1000,176.784591047287,1508.1672847637603,2352.3567091128853,0.004166666666666667,224.66877776324657,True
factual,3.0,600.0,1500,160.9456967778391,1651.424926486395,2352.3567091128853,0.004166666666666667,193.67860330945751,True
creative,3.0,600.0,1500,169.82758740699688,3718.9476954287466,2352.3567091128853,0.004166666666666667,204.40641194991065,True
neutral,5.0,1000.0,2000,167.445899187088,1682.368848430416,2352.3567091128853,0.004166666666666667,192.45314251587308,True
val,5.0,1000.0,1500,160.635980758667,1245.6989710210335,2352.3567091128853,0.004166666666666667,192.88409910112563,True
test,5.0,1000.0,1500,175.3908562520345,1394.3962201062805,2352.3567091128853,0.004166666666666667,207.82471043578587,True
attack_train,5.0,1000.0,1000,179.1320111064911,1463.0919587040062,2352.3567091128853,0.004166666666666667,226.95122123654616,True
factual,5.0,1000.0,1500,163.5071585847211,1314.3684672376876,2352.3567091128853,0.004166666666666667,195.8423547150495,True
creative,5.0,1000.0,1500,182.35481038051844,1574.9917008997618,2352.3567091128853,0.004166666666666667,215.00138276627396,True
